,element,position,multiplier,is_captain,is_vice_captain
0,113,1,1,False,False
1,369,2,1,False,False
2,203,3,1,False,False
3,32,4,1,False,False
4,19,5,1,False,False
5,362,6,1,False,False
6,412,7,1,False,False
7,509,8,1,False,False
8,60,9,2,True,False
9,85,10,1,False,True
10,355,11,1,False,False
11,28,12,0,False,False
12,353,13,0,False,False
13,5,14,0,False,False
14,290,15,0,False,False
15,275,1,1,False,False
16,5,2,1,False,False
17,519,3,1,False,False
18,430,4,1,False,False
19,412,5,1,False,True
20,362,6,1,False,False
21,19,7,1,False,False
22,353,8,1,False,False
23,85,9,1,False,False
24,343,10,1,False,False
25,60,11,2,True,False
26,145,12,0,False,False
27,245,13,0,False,False
28,36,14,0,False,False
29,557,15,0,False,False
30,524,1,1,False,False
31,430,2,1,False,False
32,131,3,1,False,False
33,203,4,1,False,False
34,382,5,1,False,False
35,353,6,1,False,False
36,362,7,1,False,False
37,509,8,1,False,False
38,60,9,2,True,False
39,355,10,1,False,True
40,135,11,1,False,False
41,148,12,0,False,False
42,19,13,0,False,False
43,313,14,0,False,False
44,5,15,0,False,False
45,524,1,1,False,False
46,131,2,1,False,False
47,369,3,1,False,False
48,407,4,1,False,True
49,412,5,1,False,False
50,349,6,1,False,False
51,19,7,1,False,False
52,509,8,1,False,False
53,362,9,2,True,False
54,85,10,1,False,False
55,60,11,1,False,False
56,291,12,0,False,False
57,343,13,0,False,False
58,36,14,0,False,False
59,5,15,0,False,False
60,409,1,1,False,False
61,506,2,1,False,False
62,32,3,1,False,False
63,5,4,1,False,False
64,362,5,1,False,True
65,501,6,1,False,False
66,19,7,1,False,False
67,353,8,1,False,False
68,60,9,1,False,False
69,85,10,1,False,False
70,355,11,2,True,False
71,524,12,0,False,False
72,197,13,0,False,False
73,298,14,0,False,False
74,403,15,0,False,False
75,49,1,1,False,False
76,430,2,2,True,False
77,131,3,1,False,False
78,506,4,1,False,False
79,134,5,1,False,False
80,353,6,1,False,False
81,362,7,1,False,True
82,349,8,1,False,False
83,85,9,1,False,False
84,343,10,1,False,False
85,60,11,1,False,False
86,101,12,0,False,False
87,509,13,0,False,False
88,407,14,0,False,False
89,20,15,0,False,False
90,275,1,1,False,False
91,506,2,1,False,False
92,430,3,1,False,False
93,29,4,1,False,False
94,344,5,1,False,False
95,509,6,1,False,False
96,19,7,1,False,True
97,353,8,2,True,False
98,526,9,1,False,False
99,85,10,1,False,False
100,60,11,1,False,False
101,524,12,0,False,False
102,343,13,0,False,False
103,313,14,0,False,False
104,602,15,0,False,False
105,524,1,1,False,False
106,369,2,1,False,False
107,48,3,1,False,False
108,405,4,1,False,False
109,509,5,1,False,False
110,19,6,1,False,False
111,362,7,1,False,False
112,43,8,1,False,False
113,85,9,2,True,False
114,355,10,1,False,False
115,60,11,1,False,True
116,113,12,0,False,False
117,353,13,0,False,False
118,290,14,0,False,False
119,5,15,0,False,False
120,77,1,1,False,False
121,616,2,1,False,False
122,131,3,1,False,False
123,506,4,1,False,False
124,19,5,1,False,False
125,362,6,1,False,True
126,353,7,1,False,False
127,382,8,1,False,False
128,509,9,1,False,False
129,355,10,2,True,False
130,60,11,1,False,False
131,524,12,0,False,False
132,135,13,0,False,False
133,5,14,0,False,False
134,321,15,0,False,False
135,409,1,1,False,False
136,32,2,1,False,False
137,506,3,1,False,False
138,290,4,1,False,False
139,19,5,1,False,False
140,134,6,1,False,False
141,509,7,1,False,False
142,362,8,2,True,False
143,85,9,1,False,False
144,355,10,1,False,True
145,60,11,1,False,False
146,263,12,0,False,False
147,203,13,0,False,False
148,20,14,0,False,False
149,226,15,0,False,False
150,409,1,1,False,False
151,48,2,1,False,False
152,131,3,1,False,False
153,506,4,1,False,False
154,353,5,1,False,False
155,362,6,1,False,True
156,19,7,1,False,False
157,412,8,1,False,False
158,509,9,1,False,False
159,85,10,1,False,False
160,60,11,2,True,False
161,113,12,0,False,False
162,343,13,0,False,False
163,369,14,0,False,False
164,5,15,0,False,False
165,409,1,1,False,False
166,506,2,1,False,False
167,369,3,1,False,False
168,430,4,1,False,False
169,294,5,1,False,False
170,19,6,1,False,False
171,353,7,1,False,False
172,362,8,1,False,True
173,85,9,1,False,False
174,60,10,1,False,False
175,355,11,2,True,False
176,524,12,1,False,False
177,599,13,1,False,False
178,41,14,1,False,False
179,217,15,1,False,False
180,352,1,1,False,False
181,506,2,1,False,False
182,48,3,1,False,False
183,290,4,1,False,False
184,19,5,1,False,False
185,509,6,1,False,False
186,353,7,1,False,False
187,362,8,1,False,True
188,590,9,1,False,False
189,60,10,2,True,False
190,355,11,1,False,False
191,28,12,0,False,False
192,226,13,0,False,False
193,31,14,0,False,False
194,5,15,0,False,False
195,275,1,1,False,False
196,131,2,1,False,False
197,430,3,1,False,False
198,290,4,1,False,False
199,362,5,1,False,False
200,349,6,1,False,False
201,509,7,1,False,False
202,412,8,1,False,False
203,343,9,1,False,False
204,85,10,1,False,True
205,60,11,2,True,False
206,524,12,0,False,False
207,519,13,0,False,False
208,19,14,0,False,False
209,31,15,0,False,False
210,409,1,1,False,False
211,506,2,1,False,False
212,407,3,1,False,False
213,131,4,1,False,False
214,19,5,1,False,False
215,353,6,1,False,False
216,362,7,1,False,False
217,349,8,2,True,False
218,355,9,1,False,False
219,60,10,1,False,False
220,85,11,1,False,True
221,301,12,0,False,False
222,382,13,0,False,False
223,5,14,0,False,False
224,150,15,0,False,False
225,275,1,1,False,False
226,506,2,1,False,False
227,369,3,1,False,False
228,290,4,1,False,False
229,362,5,1,False,True
230,509,6,1,False,False
231,19,7,1,False,False
232,353,8,1,False,False
233,43,9,1,False,False
234,355,10,1,False,False
235,60,11,2,True,False
236,113,12,0,False,False
237,293,13,0,False,False
238,5,14,0,False,False
239,584,15,0,False,False
240,409,1,1,False,False
241,407,2,1,False,False
242,506,3,1,False,False
243,48,4,1,False,False
244,353,5,1,False,False
245,19,6,1,False,False
246,43,7,1,False,False
247,509,8,1,False,False
248,85,9,1,False,True
249,60,10,2,True,False
250,355,11,1,False,False
251,263,12,0,False,False
252,303,13,0,False,False
253,5,14,0,False,False
254,290,15,0,False,False
255,113,1,1,False,False
256,131,2,1,False,False
257,369,3,1,False,False
258,150,4,1,False,False
259,362,5,1,False,False
260,509,6,1,False,False
261,353,7,1,False,False
262,19,8,1,False,False
263,355,9,1,False,False
264,60,10,2,True,False
265,85,11,1,False,True
266,28,12,0,False,False
267,294,13,0,False,False
268,290,14,0,False,False
269,5,15,0,False,False
270,49,1,1,False,False
271,369,2,1,False,False
272,131,3,1,False,False
273,506,4,1,False,False
274,373,5,2,True,False
275,353,6,1,False,False
276,362,7,1,False,True
277,19,8,1,False,False
278,134,9,1,False,False
279,232,10,1,False,False
280,355,11,1,False,False
281,409,12,0,False,False
282,8,13,0,False,False
283,584,14,0,False,False
284,197,15,0,False,False
285,275,1,1,False,False
286,506,2,1,False,False
287,430,3,1,False,False
288,131,4,1,False,False
289,509,5,1,False,True
290,353,6,1,False,False
291,412,7,1,False,False
292,362,8,1,False,False
293,85,9,1,False,False
294,60,10,2,True,False
295,343,11,1,False,False
296,524,12,0,False,False
297,19,13,0,False,False
298,5,14,0,False,False
299,321,15,0,False,False
300,524,1,1,False,False
301,506,2,1,False,False
302,5,3,1,False,False
303,20,4,1,False,False
304,353,5,1,False,False
305,509,6,1,False,False
306,19,7,1,False,False
307,362,8,2,True,False
308,60,9,1,False,False
309,343,10,1,False,False
310,85,11,1,False,True
311,301,12,0,False,False
312,36,13,0,False,False
313,387,14,0,False,False
314,308,15,0,False,False
315,275,1,1,False,False
316,506,2,1,False,False
317,369,3,1,False,False
318,5,4,1,False,False
319,362,5,1,False,True
320,353,6,1,False,False
321,134,7,1,False,False
322,19,8,1,False,False
323,135,9,1,False,False
324,355,10,2,True,False
325,60,11,1,False,False
326,524,12,0,False,False
327,43,13,0,False,False
328,321,14,0,False,False
329,419,15,0,False,False
330,275,1,1,False,False
331,506,2,1,False,False
332,283,3,1,False,False
333,131,4,1,False,False
334,369,5,1,False,False
335,509,6,1,False,False
336,353,7,1,False,False
337,43,8,1,False,False
338,19,9,1,False,False
339,60,10,2,True,False
340,85,11,1,False,True
341,524,12,0,False,False
342,20,13,0,False,False
343,33,14,0,False,False
344,308,15,0,False,False
345,409,1,1,False,False
346,506,2,1,False,False
347,519,3,1,False,False
348,131,4,1,False,False
349,362,5,1,False,False
350,349,6,1,False,False
351,412,7,1,False,False
352,509,8,1,False,False
353,117,9,1,False,False
354,85,10,2,True,False
355,60,11,1,False,True
356,524,12,0,False,False
357,294,13,0,False,False
358,20,14,0,False,False
359,321,15,0,False,False
360,275,1,1,False,False
361,131,2,1,False,False
362,430,3,1,False,False
363,506,4,1,False,False
364,509,5,1,False,False
365,294,6,1,False,False
366,19,7,1,False,False
367,362,8,1,False,False
368,349,9,2,True,False
369,85,10,1,False,True
370,343,11,1,False,False
371,524,12,0,False,False
372,590,13,0,False,False
373,5,14,0,False,False
374,321,15,0,False,False
375,409,1,1,False,False
376,506,2,1,False,False
377,131,3,1,False,False
378,430,4,1,False,False
379,353,5,1,False,False
380,19,6,1,False,False
381,509,7,1,False,True
382,362,8,1,False,False
383,134,9,1,False,False
384,60,10,2,True,False
385,343,11,1,False,False
386,524,12,0,False,False
387,117,13,0,False,False
388,20,14,0,False,False
389,321,15,0,False,False
390,409,1,1,False,False
391,83,2,1,False,False
392,616,3,1,False,False
393,506,4,1,False,False
394,509,5,1,False,False
395,19,6,1,False,False
396,353,7,1,False,False
397,362,8,2,True,False
398,60,9,1,False,True
399,85,10,1,False,False
400,355,11,1,False,False
401,524,12,0,False,False
402,294,13,0,False,False
403,290,14,0,False,False
404,150,15,0,False,False
405,524,1,1,False,False
406,506,2,1,False,False
407,5,3,1,False,False
408,131,4,1,False,False
409,349,5,1,False,False
410,353,6,1,False,False
411,362,7,1,False,False
412,294,8,1,False,False
413,19,9,1,False,False
414,60,10,2,True,False
415,355,11,1,False,True
416,28,12,0,False,False
417,135,13,0,False,False
418,48,14,0,False,False
419,316,15,0,False,False
420,409,1,1,False,False
421,131,2,1,False,False
422,369,3,1,False,False
423,32,4,1,False,False
424,353,5,1,False,False
425,509,6,1,False,False
426,362,7,1,False,False
427,19,8,1,False,True
428,135,9,1,False,False
429,343,10,1,False,False
430,60,11,2,True,False
431,113,12,0,False,False
432,526,13,0,False,False
433,290,14,0,False,False
434,5,15,0,False,False
435,409,1,1,False,False
436,506,2,1,False,False
437,290,3,1,False,False
438,48,4,1,False,False
439,362,5,1,False,False
440,19,6,1,False,False
441,294,7,1,False,False
442,412,8,2,True,False
443,343,9,1,False,True
444,60,10,1,False,False
445,85,11,1,False,False
446,524,12,0,False,False
447,353,13,0,False,False
448,5,14,0,False,False
449,602,15,0,False,False
450,275,1,1,False,False
451,131,2,1,False,False
452,506,3,1,False,False
453,32,4,1,False,False
454,362,5,1,False,False
455,353,6,1,False,False
456,349,7,1,False,True
457,412,8,1,False,False
458,60,9,1,False,False
459,355,10,2,True,False
460,85,11,1,False,False
461,524,12,0,False,False
462,294,13,0,False,False
463,203,14,0,False,False
464,260,15,0,False,False
465,77,1,1,False,False
466,506,2,1,False,False
467,131,3,1,False,False
468,290,4,1,False,False
469,509,5,1,False,False
470,353,6,1,False,False
471,504,7,1,False,True
472,362,8,2,True,False
473,343,9,1,False,False
474,85,10,1,False,False
475,60,11,1,False,False
476,524,12,0,False,False
477,191,13,0,False,False
478,260,14,0,False,False
479,308,15,0,False,False
480,520,1,1,False,False
481,131,2,1,False,False
482,20,3,1,False,False
483,430,4,1,False,False
484,19,5,1,False,False
485,362,6,1,False,False
486,303,7,1,False,False
487,353,8,1,False,False
488,343,9,1,False,True
489,60,10,1,False,False
490,355,11,2,True,False
491,113,12,0,False,False
492,567,13,0,False,False
493,298,14,0,False,False
494,27,15,0,False,False
495,275,1,1,False,False
496,506,2,1,False,False
497,321,3,1,False,False
498,369,4,1,False,False
499,362,5,1,False,False
500,509,6,1,False,True
501,353,7,1,False,False
502,567,8,1,False,False
503,355,9,2,True,False
504,85,10,1,False,False
505,60,11,1,False,False
506,524,12,0,False,False
507,19,13,0,False,False
508,313,14,0,False,False
509,5,15,0,False,False
510,275,1,1,False,False
511,369,2,1,False,False
512,48,3,1,False,False
513,407,4,1,False,False
514,19,5,1,False,False
515,382,6,1,False,False
516,353,7,1,False,False
517,362,8,1,False,False
518,60,9,1,False,True
519,85,10,2,True,False
520,355,11,1,False,False
521,113,12,0,False,False
522,294,13,0,False,False
523,5,14,0,False,False
524,290,15,0,False,False
525,409,1,1,False,False
526,506,2,1,False,False
527,290,3,1,False,False
528,430,4,1,False,False
529,362,5,1,False,False
530,353,6,1,False,False
531,509,7,1,False,False
532,412,8,1,False,True
533,85,9,1,False,False
534,343,10,1,False,False
535,60,11,2,True,False
536,49,12,0,False,False
537,19,13,0,False,False
538,48,14,0,False,False
539,393,15,0,False,False
540,524,1,1,False,False
541,506,2,1,False,False
542,290,3,1,False,False
543,321,4,1,False,False
544,362,5,1,False,False
545,509,6,1,False,False
546,526,7,1,False,False
547,349,8,1,False,False
548,567,9,1,False,False
549,60,10,1,False,True
550,355,11,2,True,False
551,275,12,0,False,False
552,590,13,0,False,False
553,31,14,0,False,False
554,584,15,0,False,False
555,524,1,1,False,False
556,405,2,1,False,False
557,131,3,1,False,False
558,506,4,1,False,False
559,362,5,1,False,True
560,19,6,1,False,False
561,353,7,1,False,False
562,349,8,2,True,False
563,590,9,1,False,False
564,60,10,1,False,False
565,85,11,1,False,False
566,28,12,0,False,False
567,216,13,0,False,False
568,5,14,0,False,False
569,178,15,0,False,False
570,49,1,1,False,False
571,131,2,1,False,False
572,290,3,1,False,False
573,506,4,1,False,False
574,362,5,1,False,False
575,353,6,1,False,True
576,509,7,1,False,False
577,19,8,1,False,False
578,412,9,2,True,False
579,355,10,1,False,False
580,60,11,1,False,False
581,524,12,0,False,False
582,135,13,0,False,False
583,369,14,0,False,False
584,5,15,0,False,False
585,77,1,1,False,False
586,506,2,1,False,False
587,430,3,1,False,False
588,283,4,1,False,False
589,290,5,1,False,False
590,362,6,1,False,False
591,353,7,2,True,False
592,349,8,1,False,True
593,85,9,1,False,False
594,343,10,1,False,False
595,60,11,1,False,False
596,524,12,1,False,False
597,294,13,1,False,False
598,131,14,1,False,False
599,134,15,1,False,False
600,275,1,1,False,False
601,131,2,1,False,False
602,290,3,1,False,False
603,203,4,1,False,False
